date,metric,BTC,ETH
2024-06-01,etf_cumulative_net_flow_usd_millions,13860.2,0.0
2024-06-01,etf_net_flow_usd_millions,0.0,0.0
2024-06-02,etf_cumulative_net_flow_usd_millions,13860.2,0.0
2024-06-02,etf_net_flow_usd_millions,0.0,0.0
2024-06-03,etf_cumulative_net_flow_usd_millions,13965.3,0.0
2024-06-03,etf_net_flow_usd_millions,105.1,0.0
2024-06-04,etf_cumulative_net_flow_usd_millions,14851.9,0.0
2024-06-04,etf_net_flow_usd_millions,886.6,0.0
2024-06-05,etf_cumulative_net_flow_usd_millions,15340.0,0.0
2024-06-05,etf_net_flow_usd_millions,488.1,0.0
2024-06-06,etf_cumulative_net_flow_usd_millions,15557.7,0.0
2024-06-06,etf_net_flow_usd_millions,217.7,0.0
2024-06-07,etf_cumulative_net_flow_usd_millions,15688.7,0.0
2024-06-07,etf_net_flow_usd_millions,131.0,0.0
2024-06-08,etf_cumulative_net_flow_usd_millions,15688.7,0.0
2024-06-08,etf_net_flow_usd_millions,0.0,0.0
2024-06-09,etf_cumulative_net_flow_usd_millions,15688.7,0.0
2024-06-09,etf_net_flow_usd_millions,0.0,0.0
2024-06-10,etf_cumulative_net_flow_usd_millions,15623.8,0.0
2024-06-10,etf_net_flow_usd_millions,-64.9,0.0
2024-06-11,etf_cumulative_net_flow_usd_millions,15423.4,0.0
2024-06-11,etf_net_flow_usd_millions,-200.4,0.0
2024-06-12,etf_cumulative_net_flow_usd_millions,15524.2,0.0
2024-06-12,etf_net_flow_usd_millions,100.8,0.0
2024-06-13,etf_cumulative_net_flow_usd_millions,15298.0,0.0
2024-06-13,etf_net_flow_usd_millions,-226.2,0.0
2024-06-14,etf_cumulative_net_flow_usd_millions,15108.1,0.0
2024-06-14,etf_net_flow_usd_millions,-189.9,0.0
2024-06-15,etf_cumulative_net_flow_usd_millions,15108.1,0.0
2024-06-15,etf_net_flow_usd_millions,0.0,0.0
2024-06-16,etf_cumulative_net_flow_usd_millions,15108.1,0.0
2024-06-16,etf_net_flow_usd_millions,0.0,0.0
2024-06-17,etf_cumulative_net_flow_usd_millions,14962.2,0.0
2024-06-17,etf_net_flow_usd_millions,-145.9,0.0
2024-06-18,etf_cumulative_net_flow_usd_millions,14809.8,0.0
2024-06-18,etf_net_flow_usd_millions,-152.4,0.0
2024-06-19,etf_cumulative_net_flow_usd_millions,14809.8,0.0
2024-06-19,etf_net_flow_usd_millions,0.0,0.0
2024-06-20,etf_cumulative_net_flow_usd_millions,14669.9,0.0
2024-06-20,etf_net_flow_usd_millions,-139.9,0.0
2024-06-21,etf_cumulative_net_flow_usd_millions,14564.0,0.0
2024-06-21,etf_net_flow_usd_millions,-105.9,0.0
2024-06-22,etf_cumulative_net_flow_usd_millions,14564.0,0.0
2024-06-22,etf_net_flow_usd_millions,0.0,0.0
2024-06-23,etf_cumulative_net_flow_usd_millions,14564.0,0.0
2024-06-23,etf_net_flow_usd_millions,0.0,0.0
2024-06-24,etf_cumulative_net_flow_usd_millions,14389.5,0.0
2024-06-24,etf_net_flow_usd_millions,-174.5,0.0
2024-06-25,etf_cumulative_net_flow_usd_millions,14420.5,0.0
2024-06-25,etf_net_flow_usd_millions,31.0,0.0
2024-06-26,etf_cumulative_net_flow_usd_millions,14441.9,0.0
2024-06-26,etf_net_flow_usd_millions,21.4,0.0
2024-06-27,etf_cumulative_net_flow_usd_millions,14453.7,0.0
2024-06-27,etf_net_flow_usd_millions,11.8,0.0
2024-06-28,etf_cumulative_net_flow_usd_millions,14526.7,0.0
2024-06-28,etf_net_flow_usd_millions,73.0,0.0
2024-06-29,etf_cumulative_net_flow_usd_millions,14526.7,0.0
2024-06-29,etf_net_flow_usd_millions,0.0,0.0
2024-06-30,etf_cumulative_net_flow_usd_millions,14526.7,0.0
2024-06-30,etf_net_flow_usd_millions,0.0,0.0
2024-07-01,etf_cumulative_net_flow_usd_millions,14656.2,0.0
2024-07-01,etf_net_flow_usd_millions,129.5,0.0
2024-07-02,etf_cumulative_net_flow_usd_millions,14642.5,0.0
2024-07-02,etf_net_flow_usd_millions,-13.7,0.0
2024-07-03,etf_cumulative_net_flow_usd_millions,14622.0,0.0
2024-07-03,etf_net_flow_usd_millions,-20.5,0.0
2024-07-04,etf_cumulative_net_flow_usd_millions,14622.0,0.0
2024-07-04,etf_net_flow_usd_millions,0.0,0.0
2024-07-05,etf_cumulative_net_flow_usd_millions,14765.1,0.0
2024-07-05,etf_net_flow_usd_millions,143.1,0.0
2024-07-06,etf_cumulative_net_flow_usd_millions,14765.1,0.0
2024-07-06,etf_net_flow_usd_millions,0.0,0.0
2024-07-07,etf_cumulative_net_flow_usd_millions,14765.1,0.0
2024-07-07,etf_net_flow_usd_millions,0.0,0.0
2024-07-08,etf_cumulative_net_flow_usd_millions,15059.9,0.0
2024-07-08,etf_net_flow_usd_millions,294.8,0.0
2024-07-09,etf_cumulative_net_flow_usd_millions,15276.3,0.0
2024-07-09,etf_net_flow_usd_millions,216.4,0.0
2024-07-10,etf_cumulative_net_flow_usd_millions,15423.7,0.0
2024-07-10,etf_net_flow_usd_millions,147.4,0.0
2024-07-11,etf_cumulative_net_flow_usd_millions,15502.6,0.0
2024-07-11,etf_net_flow_usd_millions,78.9,0.0
2024-07-12,etf_cumulative_net_flow_usd_millions,15812.7,0.0
2024-07-12,etf_net_flow_usd_millions,310.1,0.0
2024-07-13,etf_cumulative_net_flow_usd_millions,15812.7,0.0
