date,metric,ETH,BTC,USDC
2014-07-15,price,,614.1475000000,
2014-07-16,price,,622.8950000000,
2014-07-17,price,,627.0188000000,
2014-07-18,price,,626.1763000000,
2014-07-19,price,,620.5138000000,
2014-07-20,price,,619.9088000000,
2014-07-21,price,,619.0063000000,
2014-07-22,price,,617.9425000000,
2014-07-23,price,,599.8088000000,
2014-07-24,price,,600.0963000000,
2014-07-25,price,,593.7750000000,
2014-07-26,price,,590.3788000000,
2014-07-27,price,,585.2788000000,
2014-07-28,price,,581.7138000000,
2014-07-29,price,,560.7913000000,
2014-07-30,price,,583.1821057430,
2014-07-31,price,,593.8655273950,
2014-08-01,price,,588.2306991610,
2014-08-02,price,,585.5731940770,
2014-08-03,price,,586.3686859110,
2014-08-04,price,,582.4186267650,
2014-08-05,price,,583.3250000000,
2014-08-06,price,,587.2031590190,
2014-08-07,price,,590.9072702250,
2014-08-08,price,,588.1078559840,
2014-08-09,price,,588.5004825540,
2014-08-10,price,,573.4063000000,
2014-08-11,price,,567.4023482210,
2014-08-12,price,,543.6675000000,
2014-08-13,price,,503.7088000000,
2014-08-14,price,,492.2844982830,
2014-08-15,price,,521.0463000000,
2014-08-16,price,,494.7813000000,
2014-08-17,price,,459.8863000000,
2014-08-18,price,,484.1550000000,
2014-08-19,price,,514.1863000000,
2014-08-20,price,,515.6050000000,
2014-08-21,price,,515.8263000000,
2014-08-22,price,,496.5688000000,
2014-08-23,price,,508.1138000000,
2014-08-24,price,,500.3863000000,
2014-08-25,price,,510.6388000000,
2014-08-26,price,,510.4463000000,
2014-08-27,price,,506.9150000000,
2014-08-28,price,,508.0963000000,
2014-08-29,price,,501.5300000000,
2014-08-30,price,,480.0263000000,
2014-08-31,price,,475.8200000000,
2014-09-01,price,,474.6938000000,
2014-09-02,price,,474.7263000000,
2014-09-03,price,,489.5475000000,
2014-09-04,price,,480.2425000000,
2014-09-05,price,,482.3588000000,
2014-09-06,price,,480.6025000000,
2014-09-07,price,,471.1250000000,
2014-09-08,price,,471.7538000000,
2014-09-09,price,,477.1138000000,
2014-09-10,price,,476.3775000000,
2014-09-11,price,,473.6875000000,
2014-09-12,price,,476.0013000000,
2014-09-13,price,,474.7950000000,
2014-09-14,price,,473.0313000000,
2014-09-15,price,,462.5925000000,
2014-09-16,price,,454.6238000000,
2014-09-17,price,,423.5650000000,
2014-09-18,price,,393.2625000000,
2014-09-19,price,,408.5025000000,
2014-09-20,price,,396.6200000000,
2014-09-21,price,,398.3113000000,
2014-09-22,price,,433.7513000000,
2014-09-23,price,,420.9200000000,
2014-09-24,price,,407.9775000000,
2014-09-25,price,,402.8800000000,
2014-09-26,price,,398.0075000000,
2014-09-27,price,,375.9888000000,
2014-09-28,price,,373.0888000000,
2014-09-29,price,,387.3513000000,
2014-09-30,price,,380.8950000000,
2014-10-01,price,,371.8413000000,
2014-10-02,price,,356.1900000000,
2014-10-03,price,,327.8813000000,
2014-10-04,price,,325.1100000000,
2014-10-05,price,,328.7300000000,
2014-10-06,price,,331.7238000000,
2014-10-07,price,,353.3901000000,
2014-10-08,price,,358.3950000000,
2014-10-09,price,,357.5550000000,
2014-10-10,price,,359.5150000000,
2014-10-11,price,,374.1675000000,
2014-10-12,price,,387.0388000000,
2014-10-13,price,,398.2888000000,
2014-10-14,price,,392.1900000000,
2014-10-15,price,,379.3913000000,
2014-10-16,price,,380.2925000000,
2014-10-17,price,,389.1163000000,
2014-10-18,price,,386.9450000000,
2014-10-19,price,,379.7700000000,
2014-10-20,price,,382.4138000000,
2014-10-21,price,,379.4425000000,
2014-10-22,price,,356.2000000000,
2014-10-23,price,,354.3175000000,
2014-10-24,price,,347.0304940560,
2014-10-25,price,,350.1888000000,
2014-10-26,price,,348.2900000000,
2014-10-27,price,,351.5638000000,
2014-10-28,price,,333.1475000000,
2014-10-29,price,,343.6675000000,
2014-10-30,price,,336.5879758060,
2014-10-31,price,,323.9763000000,
2014-11-01,price,,323.9850000000,
2014-11-02,price,,323.9950000000,
2014-11-03,price,,328.0083000000,
2014-11-04,price,,337.5933000000,
2014-11-05,price,,347.8183000000,
2014-11-06,price,,341.2317000000,
2014-11-07,price,,344.1783000000,
2014-11-08,price,,363.4241291020,
2014-11-09,price,,363.7650000000,
2014-11-10,price,,366.1500000000,
2014-11-11,price,,418.5783000000,
2014-11-12,price,,414.7083000000,
2014-11-13,price,,395.2450000000,
2014-11-14,price,,377.3267000000,
2014-11-15,price,,387.6233000000,
2014-11-16,price,,384.9000000000,
2014-11-17,price,,374.8683000000,
2014-11-18,price,,376.7883000000,
2014-11-19,price,,355.3888345540,
2014-11-20,price,,349.3882854320,
2014-11-21,price,,351.5500000000,
2014-11-22,price,,366.7817000000,
2014-11-23,price,,377.7417000000,
2014-11-24,price,,375.2480000000,
2014-11-25,price,,365.7660000000,
2014-11-26,price,,368.4480000000,
2014-11-27,price,,376.9510000000,
2014-11-28,price,,374.9650000000,
2014-11-29,price,,376.4720000000,
2014-11-30,price,,379.4890000000,
2014-12-01,price,,381.3768000000,
2014-12-02,price,,374.1030000000,
2014-12-03,price,,368.2282000000,
2014-12-04,price,,376.3790000000,
2014-12-05,price,,373.6710000000,
2014-12-06,price,,374.4480000000,
2014-12-07,price,,361.4330000000,
2014-12-08,price,,350.9280000000,
2014-12-09,price,,346.9798718360,
2014-12-10,price,,346.9090000000,
2014-12-11,price,,351.5020000000,
2014-12-12,price,,347.4840000000,
2014-12-13,price,,350.1330000000,
2014-12-14,price,,344.6150000000,
2014-12-15,price,,328.5340000000,
2014-12-16,price,,318.8280000000,
2014-12-17,price,,309.7650000000,
2014-12-18,price,,317.5400000000,
2014-12-19,price,,328.7740000000,
2014-12-20,price,,319.5010000000,
2014-12-21,price,,329.8860000000,
2014-12-22,price,,333.9700000000,
2014-12-23,price,,322.1940000000,
2014-12-24,price,,318.1660000000,
2014-12-25,price,,327.7169708710,
2014-12-26,price,,314.5680000000,
2014-12-27,price,,316.4910000000,
2014-12-28,price,,312.6330000000,
2014-12-29,price,,310.0790000000,
2014-12-30,price,,317.3790000000,
2014-12-31,price,,313.9920000000,
2015-01-01,price,,314.4460000000,
2015-01-02,price,,286.5720000000,
2015-01-03,price,,260.9360000000,
2015-01-04,price,,273.2200000000,
2015-01-05,price,,285.3738000000,
2015-01-06,price,,295.8725000000,
2015-01-07,price,,284.4525000000,
2015-01-08,price,,289.5738000000,
2015-01-09,price,,274.5330000000,
2015-01-10,price,,267.1840000000,
2015-01-11,price,,268.3536677010,
2015-01-12,price,,221.4360000000,
2015-01-13,price,,172.1479000000,
2015-01-14,price,,210.5559000000,
2015-01-15,price,,205.8160000000,
2015-01-16,price,,199.4914000000,
2015-01-17,price,,208.9892000000,
2015-01-18,price,,214.5450000000,
2015-01-19,price,,210.5137000000,
2015-01-20,price,,224.0451000000,
2015-01-21,price,,232.0423000000,
2015-01-22,price,,232.8980000000,
2015-01-23,price,,248.0960000000,
2015-01-24,price,,253.8389000000,
2015-01-25,price,,271.2882000000,
2015-01-26,price,,259.2356000000,
2015-01-29,price,,228.6354000000,
2015-01-30,price,,218.0233000000,
2015-01-31,price,,226.2697000000,
2015-02-01,price,,240.0193000000,
2015-02-02,price,,226.0119000000,
2015-02-03,price,,225.3083000000,
2015-02-04,price,,216.9136000000,
2015-02-05,price,,222.4872000000,
2015-02-06,price,,227.2051000000,
2015-02-07,price,,222.9061000000,
2015-02-08,price,,220.0922000000,
2015-02-09,price,,220.6493000000,
2015-02-10,price,,219.0956000000,
2015-02-11,price,,222.0401587880,
2015-02-12,price,,235.6774000000,
2015-02-13,price,,259.0086000000,
2015-02-14,price,,232.9962000000,
2015-02-15,price,,235.9199000000,
2015-02-16,price,,242.4568000000,
2015-02-17,price,,234.6238000000,
2015-02-18,price,,240.2988000000,
2015-02-19,price,,244.0821000000,
2015-02-20,price,,244.1459000000,
2015-02-21,price,,235.5530000000,
2015-02-22,price,,238.1319000000,
2015-02-23,price,,238.7314000000,
2015-02-24,price,,237.3780000000,
2015-02-25,price,,236.1711557720,
2015-02-26,price,,253.8991000000,
2015-02-27,price,,253.5991000000,
2015-02-28,price,,257.7075000000,
2015-03-01,price,,269.9615000000,
2015-03-02,price,,280.6242000000,
2015-03-03,price,,273.0193000000,
2015-03-04,price,,274.8255000000,
2015-03-05,price,,272.3413000000,
2015-03-06,price,,275.5846387340,
2015-03-07,price,,274.5780000000,
2015-03-08,price,,289.2957000000,
2015-03-09,price,,290.3057000000,
2015-03-10,price,,295.9610000000,
2015-03-11,price,,293.9203000000,
2015-03-12,price,,288.0365000000,
2015-03-13,price,,281.4887000000,
2015-03-14,price,,285.2645000000,
2015-03-15,price,,290.0955000000,
2015-03-16,price,,284.3491000000,
2015-03-17,price,,255.6062000000,
2015-03-18,price,,260.0037000000,
2015-03-19,price,,260.9075000000,
2015-03-20,price,,259.4899000000,
2015-03-21,price,,267.7981000000,
2015-03-22,price,,266.0272000000,
2015-03-23,price,,245.1679000000,
2015-03-24,price,,246.2715000000,
2015-03-25,price,,247.5595000000,
2015-03-26,price,,247.1476000000,
2015-03-27,price,,252.0497000000,
2015-03-28,price,,241.9137000000,
2015-03-29,price,,246.5418000000,
2015-03-30,price,,243.2692000000,
2015-03-31,price,,246.7755000000,
2015-04-01,price,,252.3410000000,
2015-04-02,price,,253.6227000000,
2015-04-03,price,,253.3213000000,
2015-04-04,price,,259.7118000000,
2015-04-05,price,,255.4233000000,
2015-04-06,price,,253.2085000000,
2015-04-07,price,,244.2709000000,
2015-04-08,price,,243.2006548540,
2015-04-09,price,,234.5253000000,
2015-04-10,price,,236.4501000000,
2015-04-11,price,,235.7386000000,
2015-04-12,price,,223.9464000000,
2015-04-13,price,,217.9995000000,
2015-04-14,price,,223.0161000000,
2015-04-15,price,,227.9995000000,
2015-04-16,price,,222.4171382850,
2015-04-17,price,,222.9537000000,
2015-04-18,price,,222.6812000000,
2015-04-19,price,,224.3086000000,
2015-04-20,price,,234.6867000000,
2015-04-21,price,,233.7807000000,
2015-04-22,price,,235.1735000000,
2015-04-23,price,,230.9863000000,
2015-04-24,price,,225.9568000000,
2015-04-25,price,,218.5065000000,
2015-04-26,price,,228.5712000000,
2015-04-27,price,,225.6423000000,
2015-04-28,price,,225.9978000000,
2015-04-29,price,,236.2208000000,
2015-04-30,price,,232.7403000000,
2015-05-01,price,,235.1563000000,
2015-05-02,price,,239.8820000000,
2015-05-03,price,,238.9706000000,
2015-05-04,price,,236.0015000000,
2015-05-05,price,,229.8152000000,
2015-05-06,price,,236.8450000000,
2015-05-07,price,,243.6570000000,
2015-05-08,price,,241.5321000000,
2015-05-09,price,,239.5548000000,
2015-05-10,price,,241.8506000000,
2015-05-11,price,,241.5189000000,
2015-05-12,price,,235.4793000000,
2015-05-13,price,,236.7040000000,
2015-05-14,price,,236.9908000000,
2015-05-15,price,,235.9781000000,
2015-05-16,price,,236.0847000000,
2015-05-17,price,,232.4757000000,
2015-05-18,price,,231.9446000000,
2015-05-19,price,,234.0480000000,
2015-05-20,price,,235.4205000000,
2015-05-21,price,,240.9352000000,
2015-05-22,price,,239.0329940980,
2015-05-23,price,,241.2417000000,
2015-05-24,price,,237.4410000000,
2015-05-25,price,,237.4971000000,
2015-05-26,price,,237.2305000000,
2015-05-27,price,,237.4891000000,
2015-05-28,price,,237.0714000000,
2015-05-29,price,,233.4572000000,
2015-05-30,price,,229.6785000000,
2015-05-31,price,,223.3178000000,
2015-06-01,price,,225.7387000000,
2015-06-02,price,,225.4831000000,
2015-06-03,price,,224.1748000000,
2015-06-04,price,,224.7413000000,
2015-06-05,price,,225.2889000000,
2015-06-06,price,,223.6157000000,
2015-06-07,price,,228.7013000000,
2015-06-08,price,,229.5264000000,
2015-06-09,price,,229.0022000000,
2015-06-10,price,,229.9343000000,
2015-06-11,price,,230.5181000000,
2015-06-12,price,,232.6301000000,
2015-06-13,price,,233.6681000000,
